"","Dp","Hs","Tp","Ta","Temp","lag","season"
"91534","57","2.05","14.29","9.28","6.4","55","1"
"91535","59","1.92","14.29","8.71","6.4","57","1"
"91536","65","2.09","14.29","8.92","6.4","59","1"
"91537","54","2.06","14.29","8.18","6.4","65","1"
"91538","58","2.13","13.33","8.08","6.4","54","1"
"91539","64","2.08","14.29","8.09","6.4","58","1"
"91540","54","1.94","12.5","7.82","6.4","64","1"
"91541","66","1.93","13.33","8.07","6.4","54","1"
"91542","65","1.87","14.29","8.05","6.4","66","1"
"91543","61","1.78","14.29","7.55","6.4","65","1"
"91544","49","2.27","13.33","8.43","6.4","61","1"
"91545","73","1.84","14.29","7.42","6.4","49","1"
"91546","71","1.85","13.33","7.3","6.4","73","1"
"91547","66","2.02","13.33","8.07","6.4","71","1"
"91548","62","1.87","14.29","7.75","6.4","66","1"
"91549","57","1.8","13.33","7.74","6.5","62","1"
"91550","52","1.7","13.33","7.05","6.5","57","1"
"91551","72","1.8","11.11","7.09","6.5","52","1"
"91552","59","1.73","13.33","6.72","6.4","72","1"
"91553","73","1.74","14.29","6.48","6.4","59","1"
"91554","62","1.9","14.29","6.71","6.4","73","1"
"91555","62","1.64","13.33","5.6","6.4","62","1"
"91556","64","1.84","13.33","5.84","6.4","62","1"
"91557","66","1.67","11.11","5.46","6.4","64","1"
"91558","62","1.57","15.38","5.16","6.4","66","1"
"91559","73","1.6","14.29","5.21","6.4","62","1"
"91560","59","1.55","13.33","5.07","6.4","73","1"
"91561","68","1.51","13.33","4.92","6.4","59","1"
"91562","71","1.43","13.33","4.68","6.4","68","1"
"91563","61","1.41","13.33","4.98","6.4","71","1"
"91564","66","1.48","14.29","5.02","6.4","61","1"
"91565","342","1.49","5.26","4.72","6.5","66","1"
"91566","341","1.3","5.26","4.44","6.5","342","1"
"91567","71","1.33","13.33","4.34","6.4","341","1"
"91568","66","1.34","13.33","4.38","6.4","71","1"
"91569","341","1.45","5.26","4.48","6.4","66","1"
"91570","339","1.52","5.56","4.51","6.4","341","1"
"91571","69","1.44","14.29","4.45","6.4","339","1"
"91572","325","1.48","4.55","4.47","6.4","69","1"
"91573","336","1.54","5.26","4.58","6.4","325","1"
"91574","329","1.48","5.0","4.61","6.3","336","1"
"91575","335","1.5","5.56","4.62","6.4","329","1"
"91576","332","1.5","5.56","4.63","6.4","335","1"
"91577","334","1.5","5.26","4.63","6.4","332","1"
"91578","331","1.55","5.0","4.64","6.3","334","1"
"91579","336","1.5","5.88","4.71","6.3","331","1"
"91580","322","1.37","4.55","4.48","6.2","336","1"
"91581","339","1.26","5.56","4.51","6.2","322","1"
"91582","13","1.25","7.14","4.5","6.2","339","1"
"91583","341","1.18","5.56","4.55","6.2","13","1"
"91584","343","1.21","5.56","4.49","6.2","341","1"
"91585","342","1.15","5.88","4.38","6.2","343","1"
"91586","341","1.14","5.26","4.24","6.1","342","1"
"91587","23","1.07","6.25","4.37","6.1","341","1"
"91588","353","1.03","5.88","4.36","6.1","23","1"
"91589","45","1.05","6.25","4.35","6.1","353","1"
"91590","353","1.0","5.56","4.34","6.1","45","1"
"91591","49","0.94","6.25","4.17","6.1","353","1"
"91592","79","0.93","6.67","4.0","6.2","49","1"
"91593","211","1.02","3.23","3.81","6.2","79","1"
"91594","211","1.08","3.45","3.82","6.2","211","1"
"91595","214","1.09","3.57","3.74","6.3","211","1"
"91596","194","1.08","3.85","3.75","6.3","214","1"
"91597","203","1.08","3.45","3.72","6.4","194","1"
"91598","173","1.07","4.35","3.76","6.4","203","1"
"91599","190","1.0","3.45","3.66","6.4","173","1"
"91600","182","1.03","4.0","3.55","6.5","190","1"
"91601","186","1.11","4.17","3.57","6.6","182","1"
"91602","180","1.19","5.26","3.84","6.6","186","1"
"91603","183","1.26","4.76","4.0","6.6","180","1"
"91604","183","1.44","5.56","4.31","6.6","183","1"
"91605","170","1.39","6.25","4.28","6.4","183","1"
"91606","180","1.45","5.56","4.36","6.4","170","1"
"91607","173","1.55","6.67","4.57","6.4","180","1"
"91608","166","1.55","7.14","4.78","6.4","173","1"
"91609","168","1.53","7.14","4.6","6.4","166","1"
"91610","165","1.59","7.69","4.96","6.4","168","1"
"91611","166","1.51","7.69","4.79","6.4","165","1"
"91612","168","1.56","7.69","4.75","6.4","166","1"
"91613","165","1.58","7.69","4.91","6.4","168","1"
"91614","166","1.53","7.69","4.96","6.6","165","1"
"91615","168","1.42","7.69","5.5","6.6","166","1"
"91616","161","1.5","8.33","5.66","6.6","168","1"
"91617","169","1.52","7.69","5.92","6.6","161","1"
"91618","168","1.49","8.33","6.28","6.5","169","1"
"91619","165","1.36","8.33","6.23","6.5","168","1"
"91620","165","1.3","9.09","6.11","6.5","165","1"
"91621","162","1.48","9.09","6.42","6.4","165","1"
"91622","161","1.42","8.33","6.48","6.5","162","1"
"91623","163","1.42","8.33","6.29","6.5","161","1"
"91624","163","1.27","8.33","6.32","6.4","163","1"
"91625","156","1.42","9.88","6.64","6.5","163","1"
"91626","158","1.41","9.88","6.59","6.4","156","1"
"91627","156","1.24","9.09","6.3","6.2","158","1"
"91628","148","1.33","10.53","6.82","6.3","156","1"
"91629","156","1.28","10.53","6.54","6.4","148","1"
"91630","155","1.45","9.88","6.8","6.4","156","1"
"91631","152","1.33","11.11","6.27","6.4","155","1"
"91632","148","1.29","10.53","6.17","6.4","152","1"
"91633","151","1.35","9.88","6.06","6.4","148","1"
"91634","149","1.29","9.88","5.99","6.4","151","1"
"91635","142","1.18","10.53","6.17","6.4","149","1"
"91636","147","1.09","11.11","5.9","6.4","142","1"
"91637","149","1.07","10.53","5.99","6.6","147","1"
"91638","154","1.03","9.09","5.76","6.6","149","1"
"91639","138","0.97","10.53","5.85","6.8","154","1"
"91640","139","0.99","10.53","5.95","6.9","138","1"
"91641","148","0.98","10.53","6.03","7.0","139","1"
"91642","147","1.03","10.53","6.27","7.2","148","1"
"91643","147","0.95","10.53","6.01","7.4","147","1"
"91644","144","0.98","9.88","5.17","7.4","147","1"
"91645","134","1.02","9.88","4.82","7.2","144","1"
"91646","141","1.1","9.88","4.69","7.2","134","1"
"91647","149","1.08","9.09","4.46","7.4","141","1"
"91648","30","1.13","4.55","4.31","7.5","149","1"
"91649","27","1.13","4.35","4.26","7.9","30","1"
"91650","24","1.29","4.55","4.36","8.4","27","1"
"91651","20","1.23","5.0","4.43","8.6","24","1"
"91652","24","1.41","5.26","4.56","8.8","20","1"
"91653","33","1.42","5.26","4.7","8.9","24","1"
"91654","30","1.49","5.88","4.74","9.1","33","1"
"91655","21","1.49","5.56","4.79","9.3","30","1"
"91656","26","1.44","5.56","4.87","9.6","21","1"
"91657","21","1.59","6.25","4.98","9.7","26","1"
"91658","17","1.64","6.25","5.2","9.8","21","1"
"91659","19","1.69","6.67","5.35","9.7","17","1"
"91660","21","1.67","6.67","5.34","9.8","19","1"
"91661","19","1.67","6.25","5.5","9.9","21","1"
"91662","20","1.66","7.14","5.42","9.9","19","1"
"91663","27","1.52","7.14","5.28","9.9","20","1"
"91664","17","1.5","6.67","5.31","9.9","27","1"
"91665","12","1.42","6.67","5.28","9.9","17","1"
"91666","17","1.46","6.67","5.3","9.8","12","1"
"91667","16","1.42","5.88","5.3","9.6","17","1"
"91668","21","1.32","6.67","5.08","9.5","16","1"
"91669","27","1.28","6.67","5.08","9.4","21","1"
"91670","28","1.38","6.67","5.14","9.4","27","1"
"91671","31","1.27","6.67","5.05","9.3","28","1"
"91672","28","1.3","6.67","5.04","9.3","31","1"
"91673","21","1.21","5.88","4.99","9.3","28","1"
"91674","45","1.3","7.14","5.08","9.3","21","1"
"91675","37","1.18","6.67","4.99","9.2","45","1"
"91676","27","1.35","6.67","5.21","9.2","37","1"
"91677","27","1.31","6.25","5.23","9.3","27","1"
"91678","48","1.28","7.14","5.16","9.3","27","1"
"91679","40","1.31","6.67","5.35","9.4","48","1"
"91680","42","1.35","7.69","5.66","9.4","40","1"
"91681","35","1.37","6.67","5.71","9.4","42","1"
"91682","42","1.33","7.69","5.82","9.4","35","1"
"91683","45","1.37","7.69","5.89","9.4","42","1"
"91684","41","1.37","7.69","5.93","9.4","45","1"
"91685","31","1.31","6.25","5.86","9.4","41","1"
"91686","35","1.34","7.69","5.75","9.4","31","1"
"91687","54","1.24","7.69","5.77","9.4","35","1"
"91688","42","1.17","7.69","5.63","9.4","54","1"
"91689","31","1.14","6.67","5.63","9.4","42","1"
"91690","34","1.16","7.69","5.71","9.6","31","1"
"91691","35","1.08","7.14","5.4","9.6","34","1"
"91692","40","1.09","6.67","5.37","9.6","35","1"
"91693","37","1.05","7.14","5.26","9.6","40","1"
"91694","42","1.06","7.14","4.99","10.1","37","1"
"91695","40","1.16","7.14","5.13","10.4","42","1"
"91696","40","1.12","6.67","4.83","10.3","40","1"
"91697","37","1.14","6.67","5.01","10.4","40","1"
"91698","34","1.12","6.67","4.99","10.5","37","1"
"91699","51","1.16","6.67","4.74","10.6","34","1"
"91700","44","1.19","7.14","4.75","10.6","51","1"
"91701","49","1.16","5.56","4.73","10.9","44","1"
"91702","41","1.25","6.67","4.58","11.1","49","1"
"91703","96","1.2","5.26","4.49","11.2","41","1"
"91704","58","1.28","6.25","4.61","11.4","96","1"
"91705","76","1.22","5.26","4.55","11.6","58","1"
"91706","57","1.27","5.88","4.83","11.8","76","1"
"91707","64","1.18","6.25","4.74","11.9","57","1"
"91708","86","1.15","5.88","4.94","12.0","64","1"
"91709","75","1.13","5.88","4.91","12.1","86","1"
"91710","132","1.12","6.25","4.99","12.2","75","1"
"91711","102","1.18","5.56","4.93","12.5","132","1"
"91712","109","1.2","5.88","4.98","12.6","102","1"
"91713","154","1.17","7.14","4.95","12.7","109","1"
"91714","152","1.17","6.67","4.94","12.8","154","1"
"91715","86","1.15","5.88","4.94","12.8","152","1"
"91716","149","1.14","7.14","4.92","12.9","86","1"
"91717","159","1.13","7.14","4.63","13.0","149","1"
"91718","149","1.16","6.25","4.33","13.0","159","1"
"91719","152","1.21","6.67","4.33","13.2","149","1"
"91720","152","1.22","6.67","4.44","13.2","152","1"
"91721","48","1.21","4.0","4.27","13.2","152","1"
"91722","149","1.3","7.14","4.29","13.2","48","1"
"91723","40","1.3","4.55","4.23","13.2","149","1"
"91724","40","1.31","4.35","4.38","13.2","40","1"
"91725","35","1.24","4.76","4.19","12.5","40","1"
"91726","35","1.35","4.55","4.39","12.4","35","1"
"91727","35","1.37","4.76","4.39","12.2","35","1"
"91728","42","1.33","5.0","4.41","12.5","35","1"
"91729","31","1.36","5.0","4.45","12.5","42","1"
"91730","31","1.37","4.76","4.42","12.3","31","1"
"91731","33","1.46","5.0","4.41","12.3","31","1"
"91732","27","1.43","5.0","4.31","12.2","33","1"
"91733","28","1.48","5.0","4.46","12.2","27","1"
"91734","31","1.51","5.26","4.38","12.3","28","1"
"91735","33","1.46","5.26","4.39","12.4","31","1"
"91736","19","1.51","4.76","4.42","12.4","33","1"
"91737","30","1.6","5.56","4.5","12.4","19","1"
"91738","27","1.55","5.26","4.46","12.4","30","1"
"91739","28","1.55","5.56","4.45","12.5","27","1"
"91740","27","1.58","5.26","4.4","12.5","28","1"
"91741","17","1.54","5.26","4.44","12.6","27","1"
"91742","23","1.68","5.56","4.62","12.8","17","1"
"91743","30","1.56","5.88","4.59","13.0","23","1"
"91744","21","1.57","5.56","4.67","13.2","30","1"
"91745","20","1.55","5.56","4.66","13.4","21","1"
"91746","17","1.51","5.26","4.64","13.5","20","1"
"91747","24","1.5","5.56","4.71","13.7","17","1"
"91748","17","1.32","5.56","4.59","13.9","24","1"
"91749","27","1.39","5.56","4.72","14.0","17","1"
"91750","24","1.33","5.88","4.84","13.9","27","1"
"91751","17","1.28","5.88","4.8","13.7","24","1"
"91752","17","1.3","5.88","4.78","13.5","17","1"
"91753","34","1.38","6.25","4.95","13.4","17","1"
"91754","17","1.25","5.88","4.91","13.3","34","1"
"91755","30","1.11","6.25","4.76","13.1","17","1"
"91756","30","1.13","6.25","4.91","13.0","30","1"
"91757","19","1.15","5.56","4.93","13.0","30","1"
"91758","40","1.05","6.25","4.87","13.0","19","1"
"91759","45","1.12","5.88","5.01","13.0","40","1"
"91760","38","1.09","5.88","5.05","13.0","45","1"
"91761","76","1.09","7.69","5.19","13.1","38","1"
"91762","34","1.05","5.88","5.21","13.1","76","1"
"91763","34","1.08","5.88","5.17","13.1","34","1"
"91764","37","1.05","5.88","5.17","13.2","34","1"
"91765","44","1.01","5.56","5.0","13.2","37","1"
"91766","82","1.02","7.69","5.16","13.3","44","1"
"91767","59","1.01","6.25","5.06","13.2","82","1"
"91768","35","1.03","5.88","4.89","13.3","59","1"
"91769","82","0.93","7.69","4.86","13.4","35","1"
"91770","35","0.97","5.88","4.94","13.4","82","1"
"91771","47","1.02","5.56","5.04","13.4","35","1"
"91772","47","0.95","5.56","4.94","13.4","47","1"
"91773","96","0.9","7.69","4.94","13.5","47","1"
"91774","41","0.92","5.56","4.98","13.5","96","1"
"91775","59","0.97","6.67","5.11","13.5","41","1"
"91776","103","0.93","7.69","5.1","13.1","59","1"
"91777","42","0.93","6.25","5.11","13.1","103","1"
"91778","54","0.94","6.25","5.29","13.1","42","1"
"91779","45","0.88","6.25","5.24","13.1","54","1"
"91780","87","0.85","7.69","5.09","13.2","45","1"
"91781","51","0.93","6.25","5.3","13.3","87","1"
"91782","52","0.89","6.25","5.17","13.5","51","1"
"91783","68","0.85","7.69","5.15","13.5","52","1"
"91784","73","0.88","7.14","5.29","13.5","68","1"
"91785","80","0.97","7.14","5.54","13.9","73","1"
"91786","85","0.83","7.69","5.26","13.6","80","1"
"91787","73","0.88","7.14","5.26","13.5","85","1"
"91788","82","0.89","7.14","5.42","13.4","73","1"
"91789","58","0.86","6.67","5.25","13.2","82","1"
"91790","92","0.84","7.14","5.08","13.0","58","1"
"91791","79","0.83","8.33","4.78","13.0","92","1"
"91792","71","0.91","6.67","4.9","13.0","79","1"
"91793","73","0.88","6.67","4.47","13.0","71","1"
"91794","76","0.94","8.33","4.57","13.0","73","1"
"91795","137","0.95","3.85","4.37","13.1","76","1"
"91796","128","0.97","4.17","4.43","13.0","137","1"
"91797","132","1.02","4.35","4.51","12.9","128","1"
"91798","141","1.0","4.17","4.63","13.0","132","1"
"91799","138","1.01","4.35","4.63","13.2","141","1"
"91800","61","1.0","9.09","4.67","13.3","138","1"
"91801","135","0.98","4.17","4.53","13.3","61","1"
"91802","69","0.99","9.09","4.64","13.2","135","1"
"91803","137","0.98","4.35","4.56","13.2","69","1"
"91804","78","0.97","8.33","4.57","13.3","137","1"
"91805","83","0.96","7.69","4.26","13.3","78","1"
"91806","137","1.01","4.35","4.26","13.3","83","1"
"91807","132","1.05","4.55","4.35","13.2","137","1"
"91808","131","1.07","4.76","4.42","13.2","132","1"
"91809","127","1.03","4.76","4.22","13.2","131","1"
"91810","135","1.04","4.55","4.4","13.1","127","1"
"91811","131","1.14","4.55","4.31","13.1","135","1"
"91812","138","1.28","5.0","4.46","13.1","131","1"
"91813","127","1.3","5.56","4.53","13.1","138","1"
"91814","130","1.38","5.26","4.67","13.2","127","1"
"91815","130","1.34","5.26","4.75","13.1","130","1"
"91816","128","1.43","5.56","4.75","13.1","130","1"
"91817","137","1.48","5.56","4.9","13.0","128","1"
"91818","132","1.46","5.56","4.83","13.0","137","1"
"91819","130","1.53","5.56","4.88","13.0","132","1"
"91820","123","1.51","5.88","4.85","13.0","130","1"
"91821","123","1.55","5.88","4.83","13.1","123","1"
"91822","132","1.68","5.56","4.89","13.1","123","1"
"91823","117","1.78","6.25","4.96","13.1","132","1"
"91824","121","1.69","5.88","5.04","13.0","117","1"
"91825","116","1.71","6.25","5.06","13.0","121","1"
"91826","118","1.79","6.25","5.22","13.0","116","1"
"91827","117","1.7","6.25","5.29","13.0","118","1"
"91828","116","1.66","6.25","5.19","12.5","117","1"
"91829","130","1.81","6.67","5.56","11.6","116","1"
"91830","127","2.02","7.14","5.87","11.2","130","1"
"91831","123","1.99","7.14","5.87","11.0","127","1"
"91832","134","2.16","7.14","6.1","10.7","123","1"
"91833","137","2.15","7.14","6.19","10.8","134","1"
"91834","131","1.95","7.14","6.14","10.6","137","1"
"91835","127","2.02","7.14","6.22","10.1","131","1"
"91836","139","2.03","7.14","6.38","10.5","127","1"
"91837","137","1.81","7.14","6.34","11.0","139","1"
"91838","111","1.72","8.33","6.25","9.9","137","1"
"91839","120","1.73","7.69","5.34","9.1","111","1"
"91840","134","1.92","7.14","5.45","9.4","120","1"
"91841","123","1.82","7.14","5.21","9.1","134","1"
"91842","110","1.69","7.14","4.86","8.8","123","1"
"91843","66","1.88","7.69","4.79","8.8","110","1"
"91844","97","2.17","7.14","4.72","8.6","66","1"
"91845","66","2.23","7.69","4.87","8.6","97","1"
"91846","31","2.24","7.69","4.97","8.7","66","1"
"91847","338","2.19","5.56","4.83","8.8","31","1"
"91848","357","2.41","6.25","5.03","9.6","338","1"
"91849","345","2.27","5.56","5.06","9.4","357","1"
"91850","35","2.54","7.69","5.4","8.9","345","1"
"91851","359","2.37","6.25","5.37","8.7","35","1"
"91852","45","2.4","7.69","5.47","8.6","359","1"
"91853","41","2.5","8.33","5.65","8.9","45","1"
"91854","33","2.54","8.33","5.83","9.1","41","1"
"91855","23","2.62","9.09","6.03","8.8","33","1"
"91856","24","2.81","9.09","6.28","8.2","23","1"
"91857","24","2.57","9.09","6.12","8.1","24","1"
"91858","21","2.68","9.09","6.29","8.2","24","1"
"91859","24","2.6","9.88","6.25","7.9","21","1"
"91860","34","2.52","9.88","6.24","7.6","24","1"
"91861","23","2.52","9.88","6.62","7.3","34","1"
"91862","26","2.57","9.88","6.24","7.2","23","1"
"91863","34","2.64","9.09","5.98","7.2","26","1"
"91864","19","2.73","9.88","5.98","7.1","34","1"
"91865","31","2.74","9.88","6.2","7.1","19","1"
"91866","23","2.87","9.88","6.38","7.1","31","1"
"91867","37","2.65","9.88","6.09","7.2","23","1"
"91868","21","2.59","11.11","6.26","7.2","37","1"
"91869","30","2.58","9.88","6.13","7.2","21","1"
"91870","21","2.53","11.11","6.23","7.2","30","1"
"91871","28","2.38","9.88","6.18","7.2","21","1"
"91872","21","2.43","9.88","6.2","7.2","28","1"
"91873","21","2.54","10.53","6.43","7.2","21","1"
"91874","14","2.39","10.53","6.11","7.2","21","1"
"91875","10","2.54","11.11","6.41","7.1","14","1"
"91876","27","2.43","10.53","6.33","7.1","10","1"
"91877","24","2.53","11.11","6.94","7.1","27","1"
"91878","23","2.5","11.11","6.95","7.1","24","1"
"91879","31","2.52","11.76","7.23","7.1","23","1"
"91880","54","2.47","11.11","7.15","7.1","31","1"
"91881","59","2.5","11.11","7.09","7.1","54","1"
"91882","72","2.49","10.53","7.39","7.1","59","1"
"91883","79","2.44","11.11","7.17","7.1","72","1"
"91884","48","2.38","11.11","7.43","7.0","79","1"
"91885","57","2.26","9.88","7.01","7.1","48","1"
"91886","62","2.06","12.5","6.33","7.0","57","1"
"91887","69","2.26","9.09","6.54","6.9","62","1"
"91888","37","2.16","11.11","6.18","6.9","69","1"
"91889","47","2.2","11.11","6.28","7.0","37","1"
"91890","33","2.18","9.88","6.09","7.0","47","1"
"91891","44","2.19","10.53","5.96","7.0","33","1"
"91892","61","2.05","11.11","5.74","7.0","44","1"
"91893","61","2.27","10.53","6.08","7.0","61","1"
"91894","62","2.37","11.11","5.85","7.0","61","1"
"91895","57","2.43","11.76","6.02","7.0","62","1"
"91896","19","2.41","10.53","5.76","7.0","57","1"
"91897","61","2.46","12.5","5.77","7.0","19","1"
"91898","44","2.3","9.88","5.44","7.0","61","1"
"91899","45","2.36","11.11","5.86","7.0","44","1"
"91900","41","2.35","10.53","5.73","7.0","45","1"
"91901","45","2.43","10.53","5.85","7.0","41","1"
"91902","41","2.58","10.53","5.81","7.0","45","1"
"91903","58","2.35","9.88","5.71","7.0","41","1"
"91904","64","2.23","10.53","5.71","7.0","58","1"
"91905","45","2.47","10.53","6.16","7.0","64","1"
"91906","57","2.41","10.53","5.95","7.0","45","1"
"91907","59","2.36","10.53","5.93","7.0","57","1"
"91908","12","2.34","6.67","5.83","6.9","59","1"
"91909","40","2.34","11.11","5.93","6.9","12","1"
"91910","45","2.46","11.11","6.03","6.9","40","1"
"91911","45","2.5","11.11","6.15","6.9","45","1"
"91912","44","2.44","10.53","5.96","6.9","45","1"
"91913","23","2.38","10.53","6.05","6.9","44","1"
"91914","40","2.59","9.88","6.32","6.8","23","1"
"91915","47","2.65","9.88","6.36","6.8","40","1"
"91916","20","2.48","10.53","6.19","6.8","47","1"
"91917","37","2.55","10.53","6.26","6.7","20","1"
"91918","24","2.59","11.11","6.17","6.7","37","1"
"91919","35","2.68","11.11","6.53","6.7","24","1"
"91920","31","2.56","9.88","6.47","6.8","35","1"
"91921","27","2.5","9.88","6.11","6.8","31","1"
"91922","37","2.46","9.88","6.4","6.8","27","1"
"91923","31","2.63","10.53","6.59","6.8","37","1"
"91924","19","2.36","9.88","6.05","6.8","31","1"
"91925","23","2.3","11.11","6.0","6.9","19","1"
"91926","34","2.46","10.53","6.44","6.9","23","1"
"91927","38","2.41","10.53","6.62","6.9","34","1"
"91928","26","2.26","10.53","6.43","6.9","38","1"
"91929","20","2.3","9.88","6.45","6.9","26","1"
"91930","35","2.16","11.76","6.31","6.9","20","1"
"91931","27","2.09","11.11","6.31","6.9","35","1"
"91932","34","2.14","10.53","6.46","6.9","27","1"
"91933","35","2.02","10.53","6.33","6.9","34","1"
"91934","31","2.2","10.53","6.66","6.9","35","1"
"91935","28","2.06","9.88","6.6","6.9","31","1"
"91936","30","2.16","11.11","7.1","6.9","28","1"
"91937","44","2.21","11.11","6.98","6.9","30","1"
"91938","38","2.19","9.88","7.03","6.9","44","1"
"91939","28","1.94","11.11","6.89","7.0","38","1"
"91940","45","1.95","10.53","7.03","6.9","28","1"
"91941","41","1.95","9.88","7.22","6.8","45","1"
"91942","47","2.0","11.11","7.03","6.8","41","1"
"91943","27","1.99","10.53","7.2","6.9","47","1"
"91944","41","2.01","10.53","7.3","6.8","27","1"
"91945","47","1.85","11.11","7.03","6.8","41","1"
"91946","51","1.89","11.11","7.05","6.8","47","1"
"91947","40","1.8","11.11","7.11","6.7","51","1"
"91948","19","1.63","10.53","6.95","6.7","40","1"
"91949","34","1.75","10.53","7.17","6.6","19","1"
"91950","31","1.77","9.88","6.92","6.7","34","1"
"91951","48","1.69","10.53","6.67","6.6","31","1"
"91952","51","1.62","10.53","6.87","6.6","48","1"
"91953","37","1.68","9.88","6.93","6.6","51","1"
"91954","42","1.74","10.53","7.29","6.4","37","1"
"91955","52","1.55","10.53","7.02","6.5","42","1"
"91956","47","1.7","11.11","6.94","6.5","52","1"
"91957","51","1.57","11.11","6.13","6.6","47","1"
"91958","42","1.62","11.11","5.6","6.6","51","1"
"91959","55","1.8","11.11","6.0","6.5","42","1"
"91960","40","1.77","11.11","5.77","6.6","55","1"
"91961","55","2.01","11.11","6.25","6.6","40","1"
"91962","40","1.83","9.88","5.57","6.6","55","1"
"91963","61","1.92","10.53","5.75","6.6","40","1"
"91964","45","1.87","10.53","5.73","6.6","61","1"
"91965","61","2.0","10.53","5.7","6.6","45","1"
"91966","58","2.0","11.11","5.76","6.6","61","1"
"91967","52","2.07","9.88","5.83","6.6","58","1"
"91968","52","2.13","10.53","6.03","6.6","52","1"
"91969","34","2.17","11.11","5.72","6.6","52","1"
"91970","44","1.83","11.11","5.73","6.6","34","1"
"91971","62","1.98","11.11","5.73","6.6","44","1"
"91972","57","1.88","11.11","5.91","6.6","62","1"
"91973","55","1.79","11.11","5.66","6.6","57","1"
"91974","47","1.65","11.76","5.48","6.6","55","1"
"91975","47","1.86","11.76","6.08","6.6","47","1"
"91976","49","1.82","11.11","5.97","6.8","47","1"
"91977","51","1.7","10.53","6.09","6.7","49","1"
"91978","64","1.7","11.76","6.07","6.7","51","1"
"91979","44","1.51","11.76","5.84","6.8","64","1"
"91980","49","1.66","11.11","6.1","6.8","44","1"
"91981","48","1.5","11.11","6.13","6.9","49","1"
"91982","42","1.59","11.11","6.32","6.9","48","1"
"91983","41","1.55","11.11","6.13","6.9","42","1"
"91984","55","1.52","11.76","6.27","6.9","41","1"
"91985","62","1.57","11.11","6.43","6.9","55","1"
"91986","48","1.44","11.11","6.25","7.0","62","1"
"91987","48","1.48","11.11","6.24","6.9","48","1"
"91988","54","1.38","11.11","6.59","6.8","48","1"
"91989","54","1.38","11.76","6.88","7.2","54","1"
"91990","51","1.31","11.11","6.38","7.1","54","1"
"91991","59","1.23","11.76","6.3","7.0","51","1"
"91992","34","1.11","11.11","6.19","6.9","59","1"
"91993","49","1.16","11.11","6.39","6.9","34","1"
"91994","51","1.09","9.88","6.17","6.7","49","1"
"91995","55","1.1","10.53","6.36","6.7","51","1"
"91996","59","1.12","11.76","6.6","6.7","55","1"
"91997","54","1.07","10.53","6.29","6.8","59","1"
"91998","33","1.12","11.11","6.57","6.6","54","1"
"91999","55","1.08","9.88","6.15","6.7","33","1"
"92000","54","1.09","11.11","6.32","6.5","55","1"
"92001","49","1.2","10.53","7.08","6.4","54","1"
"92002","58","1.03","10.53","6.07","6.6","49","1"
"92003","55","1.0","11.76","6.32","6.4","58","1"
"92004","49","1.1","10.53","6.53","6.5","55","1"
"92005","57","1.04","11.11","6.38","6.4","49","1"
"92006","48","0.98","10.53","6.23","6.6","57","1"
"92007","58","1.08","9.88","5.33","6.6","48","1"
"92008","52","1.04","10.53","5.1","6.5","58","1"
"92009","62","1.06","11.11","4.67","6.6","52","1"
"92010","57","1.07","10.53","4.62","6.5","62","1"
"92011","51","1.1","9.88","4.51","6.6","57","1"
"92012","44","1.21","11.11","4.42","6.6","51","1"
"92013","58","1.31","9.88","4.42","6.5","44","1"
"92014","27","1.3","5.0","4.34","6.5","58","1"
"92015","40","1.35","5.56","4.5","6.5","27","1"
"92016","35","1.4","5.56","4.48","6.5","40","1"
"92017","42","1.45","5.88","4.55","6.5","35","1"
"92018","20","1.41","5.26","4.53","6.6","42","1"
"92019","33","1.41","5.88","4.54","6.6","20","1"
"92020","24","1.37","5.56","4.62","6.6","33","1"
"92021","20","1.47","5.56","4.82","6.6","24","1"
"92022","24","1.47","5.88","5.03","6.6","20","1"
"92023","37","1.46","6.25","4.98","6.7","24","1"
"92024","34","1.52","6.67","5.2","6.7","37","1"
"92025","20","1.37","6.25","5.1","6.8","34","1"
"92026","20","1.41","6.25","5.12","6.8","20","1"
"92027","24","1.36","6.25","5.16","6.9","20","1"
"92028","38","1.3","7.14","5.16","6.9","24","1"
"92029","26","1.39","6.25","5.41","6.8","38","1"
"92030","31","1.32","6.67","5.38","6.8","26","1"
"92031","19","1.34","5.88","5.35","6.9","31","1"
"92032","28","1.3","6.67","5.32","7.0","19","1"
"92033","23","1.25","6.67","5.37","7.0","28","1"
"92034","26","1.23","6.67","5.49","7.1","23","1"
"92035","21","1.19","6.25","5.39","7.1","26","1"
"92036","26","1.15","6.25","5.43","6.9","21","1"
"92037","30","1.19","6.67","5.5","6.9","26","1"
"92038","20","1.09","5.88","5.3","6.9","30","1"
"92039","13","1.08","6.25","5.33","7.0","20","1"
"92040","17","1.07","5.88","5.39","6.9","13","1"
"92041","20","1.13","5.88","5.43","6.9","17","1"
"92042","17","0.98","5.88","5.3","6.8","20","1"
"92043","17","0.97","5.88","5.69","6.8","17","1"
"92044","19","0.88","5.88","5.57","6.6","17","1"
"92045","59","0.92","9.88","5.77","6.6","19","1"
"92046","27","0.87","5.88","5.6","6.8","59","1"
"92047","24","0.81","5.88","5.59","6.7","27","1"
"92048","58","0.92","9.09","6.03","6.6","24","1"
"92049","31","0.84","5.88","5.88","6.6","58","1"
"92050","62","0.9","9.09","5.96","6.6","31","1"
