,Dp,YEAR,MO,DY,HR,MN,Hs,Tp,Ta,Temp,lag,time_sin,time_sin_no_year,season
12,357,2018,1,1,0,51,2.41,6.25,5.23,11.0,9,-1.27042337791827,-1.5193851307238497e-11,1
13,359,2018,1,1,1,21,2.49,6.25,5.24,10.9,357,-1.11236338880187,2.6450815982223697e-11,1
15,359,2018,1,1,2,21,2.28,6.67,5.18,10.9,0,-0.7962434105690741,-6.67517126578672e-12,1
151,352,2018,1,3,22,21,1.37,4.55,4.09,8.2,12,-9.102407278434391,6.90641324081999e-11,1
152,355,2018,1,3,22,51,1.65,4.76,4.23,8.1,352,-8.944347289318,-5.70652212927276e-12,1
153,353,2018,1,3,23,21,1.7,5.0,4.42,8.2,355,-8.7862873002016,3.5938145160189396e-11,1
154,356,2018,1,3,23,51,1.94,5.56,4.69,8.2,353,-8.628227311085201,7.75828124496516e-11,1
168,348,2018,1,4,6,51,4.9,7.69,6.73,9.3,87,-6.415387463455651,7.853154536744821e-11,1
169,355,2018,1,4,7,21,5.8,7.69,7.11,9.2,348,-6.257327474339251,3.760890829975561e-12,1
228,357,2018,1,5,12,51,2.42,6.67,5.73,7.4,30,3.06821188352817,1.6074502542613602e-11,1
230,359,2018,1,5,13,51,2.31,6.67,5.52,7.4,16,3.3843318617609706,-1.70514847053968e-11,1
238,356,2018,1,5,17,51,1.89,6.25,5.09,7.1,10,-10.2523494191555,8.327520995643101e-11,1
240,355,2018,1,5,18,51,1.78,6.25,5.14,7.0,4,-9.93622944092272,5.01492227084206e-11,1
241,357,2018,1,5,19,21,1.68,5.88,4.9,7.0,355,-9.77816945180632,-2.4621431829052e-11,1
242,357,2018,1,5,19,51,1.69,6.25,4.98,7.1,357,-9.62010946268992,1.70232354604102e-11,1
243,349,2018,1,5,20,21,1.58,5.88,4.89,7.1,357,-9.46204947357353,5.86679027498724e-11,1
244,346,2018,1,5,20,51,1.54,5.56,4.83,7.1,349,-9.30398948445713,-1.61027517876003e-11,1
246,356,2018,1,5,21,51,1.53,5.88,4.57,7.1,19,-8.98786950622434,6.71865827913241e-11,1
247,355,2018,1,5,22,21,1.52,5.88,4.64,7.1,356,-8.82980951710794,-7.58407174614852e-12,1
248,343,2018,1,5,22,51,1.49,5.56,4.54,7.0,355,-8.67174952799154,3.4060595543313705e-11,1
249,342,2018,1,5,23,21,1.5,5.56,4.72,7.1,343,-8.51368953887515,7.570526283277592e-11,1
250,343,2018,1,5,23,51,1.64,5.88,4.84,6.9,342,-8.355629549758751,9.3460829530323e-13,1
251,346,2018,1,6,0,21,1.69,5.88,4.93,7.0,343,-8.19756956064235,4.257927558476539e-11,1
252,348,2018,1,6,0,51,1.62,5.88,4.83,6.9,346,-8.03950957152595,8.422394287422759e-11,1
253,349,2018,1,6,1,21,1.6,5.88,4.96,6.9,348,-7.88144958240956,9.45328833675498e-12,1
254,345,2018,1,6,1,51,1.62,5.88,5.02,6.9,349,-7.72338959329316,5.1097955626217204e-11,1
255,341,2018,1,6,2,21,1.56,5.88,4.89,6.9,345,-7.5653296041767595,-2.36726989112555e-11,1
256,353,2018,1,6,2,51,1.55,6.25,4.94,6.8,341,-7.40726961506037,1.79719683782067e-11,1
258,346,2018,1,6,3,51,1.68,5.88,4.93,6.9,0,-7.09114963682757,-1.51540188698037e-11,1
261,353,2018,1,6,5,21,1.75,5.88,4.86,6.7,10,-6.6169696694783795,-6.63533882835195e-12,1
262,352,2018,1,6,5,51,1.71,5.88,4.88,6.7,353,-6.45890968036198,3.50093284611102e-11,1
