,runoff_obs,basin_cfs_pred,Id,year,month,day,precip,tmax,tmin
996,65.0,49.619889,997,2005,6,23,0.02,77.7,55.0
997,69.0,48.292127,998,2005,6,24,0.0,80.6,53.7
998,45.0,45.473399,999,2005,6,25,0.0,77.4,51.2
999,35.0,44.230096,1000,2005,6,26,0.0,74.8,51.3
1000,34.0,46.352349,1001,2005,6,27,0.0,75.3,49.2
1001,32.0,44.767021,1002,2005,6,28,0.0,76.7,53.5
1002,32.0,42.488669,1003,2005,6,29,0.0,75.6,48.5
1003,35.0,41.036146,1004,2005,6,30,0.0,74.9,46.2
1004,37.0,39.796528,1005,2005,7,1,0.0,81.0,50.6
1005,43.0,40.315682,1006,2005,7,2,0.0,86.3,60.6
1006,43.0,38.336886,1007,2005,7,3,0.0,86.4,55.2
1007,37.0,36.704693,1008,2005,7,4,0.0,81.5,54.5
1008,37.0,36.350595,1009,2005,7,5,0.0,85.8,56.6
1009,37.0,35.308528,1010,2005,7,6,0.0,84.4,61.1
1010,36.0,34.095299,1011,2005,7,7,0.0,86.8,61.2
1011,35.0,33.166533,1012,2005,7,8,0.0,87.7,57.9
1012,35.0,31.977342999999998,1013,2005,7,9,0.0,86.6,57.7
1013,33.0,31.051576,1014,2005,7,10,0.0,82.8,62.0
1014,32.0,29.862561,1015,2005,7,11,0.0,84.7,60.4
1015,34.0,28.843439,1016,2005,7,12,0.0,85.6,60.2
1016,35.0,28.068688,1017,2005,7,13,0.0,93.3,64.8
1017,34.0,27.463359000000004,1018,2005,7,14,0.0,92.5,66.8
1018,35.0,26.537034000000002,1019,2005,7,15,0.0,92.9,64.6
1019,30.0,25.712370999999997,1020,2005,7,16,0.0,92.1,68.1
1020,30.0,24.291472,1021,2005,7,17,0.0,92.9,68.6
1021,30.0,23.367112,1022,2005,7,18,0.0,91.4,60.2
1022,29.0,22.565849,1023,2005,7,19,0.0,90.2,62.6
1023,28.0,22.024553,1024,2005,7,20,0.0,95.3,66.6
1024,28.0,21.1557,1025,2005,7,21,0.0,95.8,68.9
1025,28.0,19.889412,1026,2005,7,22,0.04,91.1,63.1
1026,29.0,21.565606,1027,2005,7,23,0.08,88.9,60.5
1027,30.0,21.365666,1028,2005,7,24,0.01,84.4,59.0
1028,29.0,26.612964,1029,2005,7,25,0.24,83.3,57.9
1029,28.0,25.652576,1030,2005,7,26,0.02,84.2,54.5
1030,27.0,22.641253,1031,2005,7,27,0.0,80.3,51.9
1031,27.0,21.397835,1032,2005,7,28,0.0,86.7,55.4
1032,26.0,20.179073000000002,1033,2005,7,29,0.0,88.7,61.7
1033,26.0,19.40935,1034,2005,7,30,0.0,85.6,59.0
1034,25.0,18.080408,1035,2005,7,31,0.01,80.8,56.9
1035,25.0,20.195998,1036,2005,8,1,0.1,82.4,58.5
1328,26.0,23.676849,1329,2006,5,21,0.0,76.5,50.2
1329,25.0,22.427321,1330,2006,5,22,0.0,71.0,54.6
1332,25.0,20.803942000000003,1333,2006,5,25,0.09,77.0,47.0
1333,25.0,20.169553,1334,2006,5,26,0.02,80.1,53.6
1334,25.0,19.589469,1335,2006,5,27,0.0,77.1,49.7
2806,27.0,26.291347,2807,2010,6,7,0.0,86.8,57.7
2807,29.0,25.720422,2808,2010,6,8,0.0,85.0,50.3
2808,28.0,28.370047999999997,2809,2010,6,9,0.02,75.8,48.1
2809,29.0,28.324734999999997,2810,2010,6,10,0.0,81.1,53.3
2810,30.0,27.370168,2811,2010,6,11,0.0,73.2,40.9
